planner_category,planner_subcategory,planner_specialty,planner_capability,gbd_primary_cause,gbd_cause_group,gbd_preferred_measure,gbd_secondary_measure,life_threatening_score_1_5,mortality_relevance_1_5,yll_relevance_1_5,emergency_sensitivity_1_5,score_method,source_name,source_url,extract_scope,notes
"Administration, Operations & Support Services","Access operations","Ambulance Services","Trauma Care","Transport injuries","Injuries","YLLs rate","Deaths rate",3,3,4,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; ambulance services are enabling infrastructure rather than a disease service.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use road/transport injury YLL and death rates as the primary urgency proxy."
"Anesthesia & Pain Medicine","Surgical readiness","Anesthesiology","Trauma Care","Maternal disorders","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",4,4,4,4,"Score maps GBD cause mortality/YLL urgency to planner service criticality; anesthesia gates emergency surgery and obstetric rescue.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Pair with injuries and maternal disorders when creating a multi-cause score."
"Emergency, Trauma & Critical Care","Immediate stabilization","Emergency Medicine","Trauma Care","Transport injuries","Injuries","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; emergency medicine is directly delay-sensitive.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Add ischemic heart disease, stroke, neonatal disorders, and maternal disorders for a broader emergency mix."
"Emergency, Trauma & Critical Care","Immediate stabilization","Trauma Care","Trauma Care","Transport injuries","Injuries","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; trauma mortality is highly time-sensitive.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use transport injuries, falls, burns, interpersonal violence, and self-harm for full trauma burden."
"Emergency, Trauma & Critical Care","Critical beds","Critical Care Medicine","Trauma Care","Respiratory infections and tuberculosis","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; critical care handles acute respiratory failure, shock, sepsis, and severe injury.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Blend respiratory infections, transport injuries, ischemic heart disease, stroke, and neonatal disorders."
"Cardiology & Cardiothoracic","Acute cardiac access","Emergency Cardiology","Emergency Cardiology","Ischemic heart disease","Non-communicable diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; acute cardiac access is delay-sensitive.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Include stroke for cardiovascular emergency planning if the service includes thrombolysis or stroke referral."
"Cardiology & Cardiothoracic","Acute cardiac access","Interventional Cardiology","Emergency Cardiology","Ischemic heart disease","Non-communicable diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; interventional cardiology addresses high-fatality acute coronary disease.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","High score does not imply every district should build a cath lab; regionalization can still be appropriate."
"Cardiology & Cardiothoracic","Prevention and follow-up","Non Invasive Cardiology","Emergency Cardiology","Ischemic heart disease","Non-communicable diseases","DALYs rate","YLLs rate",3,4,4,2,"Score maps GBD cause mortality/YLL urgency to planner service criticality; non-invasive cardiology is high-burden but less immediately life-saving than acute intervention.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use DALYs for screening/follow-up planning, YLLs for emergency prioritization."
"Obstetrics, Gynecology & Fertility","Maternal emergency","Maternal ICU","Maternal ICU","Maternal disorders","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; maternal ICU is directly tied to preventable maternal death.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; females; reproductive age if exported; rate metrics preferred","Best paired with NFHS/HMIS district maternal indicators later."
"Obstetrics, Gynecology & Fertility","Maternal emergency","High Risk Pregnancy Care","Maternal ICU","Maternal disorders","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; high-risk pregnancy care reduces delay-sensitive maternal mortality.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; females; reproductive age if exported; rate metrics preferred","Use with distance-to-CEmONC or blood-bank access when available."
"Obstetrics, Gynecology & Fertility","Fertility and elective care","IVF and Fertility","Maternal ICU","Infertility","Non-communicable diseases","YLDs rate","DALYs rate",1,1,1,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; fertility care is important but not life-threatening for desert triage.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Keep separate from emergency obstetric planning."
"Pediatrics & Neonatology","Newborn survival","Neonatal ICU","Neonatal ICU","Neonatal disorders","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; neonatal mortality creates very high YLL burden and time-sensitive demand.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; neonatal age group if exported; rate metrics preferred","Best paired with NFHS neonatal mortality and facility delivery indicators later."
"Pediatrics & Neonatology","Child specialty care","Pediatric Emergency Medicine","Neonatal ICU","Lower respiratory infections","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",5,5,5,5,"Score maps GBD cause mortality/YLL urgency to planner service criticality; pediatric emergencies are delay-sensitive and high-YLL.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; under-5 age group if exported; rate metrics preferred","Blend lower respiratory infections, diarrheal diseases, neonatal disorders, injuries, and meningitis."
"Oncology & Hematology","Cancer treatment access","Oncology Infusion","Oncology Infusion","Neoplasms","Non-communicable diseases","YLLs rate","Deaths rate",4,4,4,2,"Score maps GBD cause mortality/YLL urgency to planner service criticality; cancer is high-mortality but many interventions are less minute-to-hour sensitive.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use cancer-specific causes for a more detailed oncology planner."
"Oncology & Hematology","Cancer treatment access","Bone Marrow Transplant","Oncology Infusion","Neoplasms","Non-communicable diseases","YLLs rate","Deaths rate",3,4,4,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; transplant services are high-acuity but highly specialized and usually regionalized.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use hematologic malignancy causes where available."
"Diagnostics, Pathology & Laboratory","Core diagnostics","24 Hours Diagnostics","Trauma Care","All causes","All causes","DALYs rate","YLLs rate",4,4,4,3,"Score maps GBD cause mortality/YLL urgency to planner service criticality; diagnostics affect many high-burden pathways but are indirect.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","For condition-specific analysis, inherit the active specialty cause rather than all-cause burden."
"Radiology, Imaging & Nuclear Medicine","Imaging access","Ultrasound and X-Ray","Trauma Care","Maternal disorders","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",4,4,4,3,"Score maps GBD cause mortality/YLL urgency to planner service criticality; basic imaging supports maternal, trauma, and acute medical triage.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Blend maternal disorders, injuries, and respiratory causes for broad imaging need."
"Radiology, Imaging & Nuclear Medicine","Advanced imaging","MRI and CT","Trauma Care","Stroke","Non-communicable diseases","YLLs rate","Deaths rate",3,4,4,3,"Score maps GBD cause mortality/YLL urgency to planner service criticality; advanced imaging is critical in selected emergencies but capital-intensive and not always first-line.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Blend stroke, transport injuries, and neoplasms depending on service model."
"Orthopedics, Spine & Sports Medicine","Essential surgery","Orthopedic Trauma","Trauma Care","Falls","Injuries","DALYs rate","YLLs rate",4,3,4,4,"Score maps GBD cause mortality/YLL urgency to planner service criticality; orthopedic trauma is time-sensitive and disability-heavy, with mortality signal strongest in severe injury.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Blend transport injuries and falls."
"Dental, Oral & Maxillofacial","Oral health","General Dentistry","Trauma Care","Oral disorders","Non-communicable diseases","YLDs rate","DALYs rate",2,1,1,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; oral health burden is mostly disability rather than death.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Do not use dental burden to rank life-threatening deserts unless maxillofacial trauma is in scope."
"Dermatology, Plastic & Aesthetic","Skin and reconstructive care","Dermatology","Trauma Care","Skin and subcutaneous diseases","Non-communicable diseases","YLDs rate","DALYs rate",2,1,1,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; dermatology is generally low mortality except burns/infections in specific contexts.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use fire, heat, and hot substances if burn reconstruction is selected."
"Endocrinology, Diabetes & Metabolic","Chronic disease control","Diabetes Management","Emergency Cardiology","Diabetes mellitus","Non-communicable diseases","DALYs rate","Deaths rate",3,3,3,2,"Score maps GBD cause mortality/YLL urgency to planner service criticality; diabetes is high-burden but mostly chronic-management oriented.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Useful as a risk amplifier for cardiovascular and renal services."
"General Medicine, Family & Internal Medicine","Primary medical access","Family Medicine","Trauma Care","All causes","All causes","DALYs rate","YLLs rate",4,4,4,3,"Score maps GBD cause mortality/YLL urgency to planner service criticality; primary/family medicine reduces many acute and chronic mortality pathways.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use all-cause burden as a broad access proxy, then condition-specific filters for interventions."
"General, Laparoscopic & Minimal Access Surgery","Essential surgery","General Surgery","Trauma Care","Appendicitis","Non-communicable diseases","YLLs rate","Deaths rate",4,4,4,4,"Score maps GBD cause mortality/YLL urgency to planner service criticality; emergency general surgery can prevent deaths from acute abdominal and injury pathways.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Also consider intestinal obstruction, hernia, gallbladder disease, and injuries where available."
"Gastroenterology, Hepatobiliary & Colorectal","Digestive and liver care","Gastroenterology","Trauma Care","Cirrhosis and other chronic liver diseases","Non-communicable diseases","DALYs rate","Deaths rate",3,3,3,2,"Score maps GBD cause mortality/YLL urgency to planner service criticality; gastroenterology has serious burden but is less generally immediate than trauma/cardiac/maternal care.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Add upper digestive system diseases for broader GI burden."
"Genetics & Reproductive Genomics","Specialized diagnostics","Genetic Testing","Oncology Infusion","Congenital birth defects","Communicable, maternal, neonatal, and nutritional diseases","DALYs rate","YLLs rate",2,2,3,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; genetic testing is indirect and specialized.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Can support neonatal/oncology planning but should not dominate desert triage alone."
"Geriatrics & Palliative Care","Older adult and palliative care","Palliative Care","Trauma Care","Neoplasms","Non-communicable diseases","Deaths rate","DALYs rate",3,3,3,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; palliative care is mortality-adjacent but not usually emergency-rescue capacity.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; older age groups if exported; rate metrics preferred","Blend neoplasms, chronic respiratory disease, cardiovascular disease, and dementia for palliative need."
"Immunology, Allergy & Rheumatology","Immune and rheumatology care","Rheumatology","Trauma Care","Rheumatoid arthritis","Non-communicable diseases","YLDs rate","DALYs rate",2,1,1,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; rheumatology burden is generally disability-heavy rather than life-threatening.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use mortality only for severe autoimmune complications if modeled separately."
"Infectious Disease & Public Health","Communicable disease response","Tuberculosis and Infectious Disease","Trauma Care","Tuberculosis","Communicable, maternal, neonatal, and nutritional diseases","YLLs rate","Deaths rate",4,4,4,3,"Score maps GBD cause mortality/YLL urgency to planner service criticality; TB and infectious disease control has high mortality and population spillover relevance.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Blend TB, lower respiratory infections, enteric infections, and HIV/AIDS if in scope."
"Nutrition & Dietetics","Nutrition access","Dietetics and Nutrition","Maternal ICU","Nutritional deficiencies","Communicable, maternal, neonatal, and nutritional diseases","DALYs rate","YLLs rate",2,2,3,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; nutrition is important but usually preventive rather than acute facility rescue.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use child wasting/stunting risk factors later for richer planning."
"Ophthalmology","Vision restoration","Cataract Surgery","Trauma Care","Sense organ diseases","Non-communicable diseases","YLDs rate","DALYs rate",2,1,1,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; cataract creates high disability but low mortality.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","This is access-critical but not life-threatening in the current planner sense."
"ENT, Head & Neck","ENT access","ENT / Otolaryngology","Trauma Care","Upper respiratory infections","Communicable, maternal, neonatal, and nutritional diseases","YLDs rate","DALYs rate",2,1,1,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; routine ENT is usually low immediate mortality.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use head and neck cancers or airway obstruction pathways separately if selected."
"Urology, Nephrology & Transplant","Renal access","Dialysis","Trauma Care","Chronic kidney disease","Non-communicable diseases","YLLs rate","Deaths rate",5,5,5,4,"Score maps GBD cause mortality/YLL urgency to planner service criticality; dialysis access is life-sustaining and delay-sensitive for renal failure.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Use chronic kidney disease deaths/YLLs; add acute kidney injury if extracted separately."
"Mental Health & Behavioral","Behavioral health","Psychiatry","Trauma Care","Self-harm","Injuries","YLLs rate","Deaths rate",3,3,4,3,"Score maps GBD cause mortality/YLL urgency to planner service criticality; psychiatry has major burden and mortality relevance through self-harm, but many services are not acute-rescue units.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Blend self-harm, depressive disorders, anxiety disorders, and substance use disorders depending on planner objective."
"Pulmonology & Respiratory","Respiratory care","Chest Medicine","Trauma Care","Chronic respiratory diseases","Non-communicable diseases","YLLs rate","Deaths rate",4,4,4,3,"Score maps GBD cause mortality/YLL urgency to planner service criticality; respiratory disease can be fatal and acute decompensation is time-sensitive.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Blend COPD, asthma, lower respiratory infections, and tuberculosis."
"Rehabilitation, Physiotherapy & Allied Health","Recovery and function","Physiotherapy and Rehabilitation","Trauma Care","Musculoskeletal disorders","Non-communicable diseases","YLDs rate","DALYs rate",2,1,1,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; rehabilitation is high-value but mostly disability-focused rather than immediately life-saving.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","May inherit higher urgency when attached to stroke, trauma, or post-surgical pathways."
"Alternative & Integrative Medicine","Traditional care","Ayurveda","Trauma Care","All causes","All causes","DALYs rate","YLDs rate",1,1,1,1,"Score maps GBD cause mortality/YLL urgency to planner service criticality; traditional care is not treated as life-critical rescue capacity in this planner.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Keep as low life-threatening score unless evidence ties it to a specific acute pathway."
"Vascular & Endovascular","Vascular intervention","Vascular Surgery","Trauma Care","Peripheral artery disease","Non-communicable diseases","YLLs rate","Deaths rate",4,4,4,3,"Score maps GBD cause mortality/YLL urgency to planner service criticality; vascular emergencies can be limb- or life-threatening but are specialized.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Blend peripheral artery disease, aortic aneurysm, ischemic stroke, and trauma where available."
"Other / Needs Review","Unclassified","Review Before Funding","Trauma Care","All causes","All causes","DALYs rate","YLLs rate",1,1,1,1,"Score defaults low until source specialty is classified against a GBD cause.","IHME Global Burden of Disease Results Tool","https://vizhub.healthdata.org/gbd-results/","India; latest available GBD year; all ages; both sexes; rate metrics preferred","Manual review required before using for investment ranking."
