category,unique_specialty_count,hbp_estimated_cost_inr_low,hbp_estimated_cost_inr_high,hbp_cost_confidence,hbp_cost_source_label,hbp_cost_source_url,specialties
"Gastroenterology, Hepatobiliary & Colorectal",118,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Acute Liver Failure; Advance Laparoscopic Surgery; Advanced Laparoscopic Urology; Anal Abscess; Anal Fissure; Anal Fistula; Anal Polyp; Anal Polyp Treatment; Anal Warts; Anorectal Clinical Service; Anorectal Surgery; Appendicitis; Av Fistula Creation for Dialysis; Billiary Sciences; Capsule Endoscopy; Coloproctology; Colorectal Surgeon; Colorectal Surgery; Constipation; Diagnostic and Advanced Laparoscopic Surgery; Endoscopy; Endoscopy Centre; Endoscopy Laproscopy; Endoscopy Services; Endoscopy and Laparoscopy; Endoscopy and Medical Gastroenterology; Fistula In Ano; Gallbladder Stones; Gastro Enterology and Laproscopic Surgery; Gastro Intestinal Surgeon; Gastro Intestinal Surgery; Gastro Sciences; Gastro Surgery; Gastroenterologist; Gastroenterology; Gastroenterology Hepatobiliary Surgery; Gastroenterology Hepatology; Gastroenterology and Hepatobiliary Sciences; Gastroenterology and Hepatobiliary Surgery; Gastroenterology and Hepatology; Gastroenterology and Laparoscopic Surgery; Gastroentrology; Gastroentrology and Laproscopic Surgery; Gastrointestinal Science; Gastrointestinal Surgeon; Gastrointestinal Surgery; Gastrointestinal and General Surgery; Gastrointestinal and Hpb Surgery; Gastrointestinal and Laparoscopic Surgery; Gastrointestinal and Minimally Invasive Surgery; Gastrointestinalendoscopy; Gastrology; Gastroscience; Gastrosciences; Gastrosurgery; General Gastro Intestinal Surgery; General Laparoscopic Surgery; General and Laparoscopic Surgery; Hepato Biliary Pancreatic; Hepato Bililary Surgery; Hepato Pancreato Biliary; Hepatobiliary Surgery; Hepatobiliary Surgery Centre; Hepatologist; Hepatology; Hepatology and Gastroenterology; Hepatology and Liver Disease Management; Hepatology and Liver Diseases; Hepatopancreatobili Surgery; Hepatopancreatobiliary Surgery; Hernia; Hernia Repair Surgery; Hernia Surgery; Ibs; Intrathecal Drug Delivery System; Laparoscopic General Surgery; Laparoscopic Kidney Surgery; Laparoscopic Pyeloplasty; Laparoscopic Surgeon; Laparoscopic Surgery; Laparoscopic Varicocelectomy; Laparoscopy; Laparoscopy Laser Surgery; Laparoscopy Surgery; Liver Care; Liver Diseases; Liver Diseases Centre; Liver Transplant; Liver Transplant and Biliary Sciences; Liver Transplant and GI Surgery; Liver Transplant and Hepatobiliary Sciences; Liver Transplant and Hepatobiliary Surgery; Liver Transplantation; Liver Transplantation Centre; Liver Transplantation and Hepatobiliary Surgery; Liver and Pancreas Surgery; Medical Gastroenterology; Minimal Access Gastro Intestinal and Hepatobiliary Surgery; Minimally Invasive Advanced Laparoscopic Surgeries; Minimally Invasive Advanced Laparoscopic Surgery; Onesittingrootcanaltreatment; Piles; Piles Arsha; Piles Fissure and Haemorrhoids; Piles Surgery; Proctology; Proctology Surgery; Proctologysurgery; Prolapse of The Pelvic Organs; Rectal Prolapse; Root Canal; Root Canal Specialists; Root Canal Treatment; Surgical Gastro; Surgical Gastro Enterology; Surgical Gastroenterology; Surgical Gastroenterology and Liver Transplantation; Whipple Specimen
"General Medicine, Family & Internal Medicine",67,1500,7500,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Addiction Internal Medicine; Addiction Medicine Pm; Addiction Medicine Pmr; Aerospace Medicine; Alternative Medicine; Alternative Medicine Specialist; Alternative Medicine and Holistic Health; Alternative Medicines; Alternative System of Medicine; Blood Transfusion Medicine; Chronic Disease Prevention and Lifestyle Medicine; Community Medicine; Complementary Medicine Bowen Technique; Family Medicine; Family Physician; Family and General Medicine; Family and Preventive Medicine; Fetal and Maternal Medicine; Fetomaternal Medicine; Foetal Medicine; General Internal Medicine; General Medicine; General Physician; General Physicians; Geratrics Internal Medicine; Geriatric Internal Medicine; Geriatric Medicine; Geriatrics Internal Medicine; Headache Medicine; Holistic Medicine Specialist; Hospice and Palliative Internal Medicine; Hospice and Palliative Medicine; Hospital Medicine; Integrated Medicine; Integrative Medicine; Integrative Medicine Yoga; Internal Medicine; Internalmedicine; Maternal Fetal Medicine Or Perinatology; Medicine; Medicine Genetics; Occupational and Environmental Medicine; Palliative Medicine; Phys Physical Medicine and Rehabilitation; Physical Medicine; Physical Medicine and Rehabilitation; Physician; Precision Medicine; Preventive Medicine; Regenerative Medicine; Regenerative Medicine Pmr; Rehabilitation Medicine; Sex Medicine; Sexual Medicine; Sexual Medicine and Marital Therapy; Sleep Medicine; Smoking Medicine Pmr; Speech Medicine Pmr; Sport Medicine; Sport Medicine Pmr; Sports Internal Medicine; Telemedicine; Thoracic Medicine; Transfusion Medicine; Transfusion Medicine and Cellular Therapy; Translational Medicine; Undersea and Hyperbaric Medicine
"General, Laparoscopic & Minimal Access Surgery",101,10000,65000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Acute Care Surgery; Advanced Robotic Surgery; Brachial Plexus Surgery; Breast Surgeries; Breast Surgery; Cleft Lip and Palate Surgery; Cleft and Craniofacial Surgery; Craniofacial Surgery; Cv Junction Surgery; Dentoalveolar Surgery; Disc Replacement Surgery; Ear Reconstruction Surgery; Endoscopic Surgeries; Endoscopic Surgery; Endovascular Surgery; Epilepsy Surgery; Esophago Gastric Surgery; Face Reconstruction Surgery; Facial Feminization Surgery; Fasciomaxillary Surgery; Female Pelvic Medicine and Reconstructive Surgery; Flap Surgery; Foot Surgery; Foot and Ankle Surgery; GI Surgery; Gall Stone Surgery; Gastric Surgery; Gender Affirmation Surgery; Gender Affirming Surgery; General Surgeon; General Surgery; General Thoracic Surgery; Generalsurgery; Genital Surgeries; Genital Surgery; HIPEC and Pipac Surgery; Hand Or Upper Extremities Surgery; Hand Or Upper Extremities and Peripheral Nerve Surgery; Hand Or Upper Extremity and Peripheral Nerve Surgery; Hand Surgery; Hand and Foot Surgeries; Hand and Micro Surgery; Hand and Upper Extremities Surgery; Hand and Wrist Surgery; Head and Neck Surgery; Hpb GI Surgery; Laproscopic Surgery; Laser Lip Surgery; Laser Surgery; Lymphedema Supermicrosurgery; Micro Surgery; Micro Vascular Surgery; Microvascular Surgery; Minimal Access Robotic Surgery; Minimal Access Surgery; Minimal Invasive Surgery; Minimally Invasive Laser Surgeon; Minimally Invasive Surgery; Nerve Surgeries; Nose Reconstruction Surgery; Palate Surgery; Pancreatic Surgery; Peadiatric Surgery; Pelviacetabular Surgery; Periarticular Surgeries; Peripheral Nerve Surgery; Peripheral Vascular Surgery; Peripheral and Endovascular Surgery; Phaco Surgery; Pl Astic Surgery; Prk Surgery; Radiation Surgery; Reconstruction Surgery; Reconstructive Surgery; Refractive Surgeries; Refractive Surgery; Refractive Surgery Services; Robot Assisted Surgery; Robotic Assisted Surgery; Robotic Surgery; Salivary Gland Surgery; Snoring and Sleep Apnoea Surgery; Soft Tissue Sarcoma Surgeries; Spinal Surgery; Stereotactic Radiosurgery; Stereotactic Surgery; Surgery; Thoracic Surgery; Thoracic and Vascular Surgery; Thoracicsurgery; Trans Prk Surgery; Tummy Tuck Surgery; Upper GI and Foregut Surgery; Uro Surgery; Urosurgery; Vascular Endovascular Surgery; Vascular Surgery; Vascular and Endovascular Surgery; Vascular and Thoracic Surgery; Vascularsurgery; Vitrectomy Surgery
Genetics & Reproductive Genomics,9,5000,25000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Cytogenetic; Cytogenetics; DNA Sexing; Genetic Screening; Geneticist; Genetics; Genetics and Rare Diseases; Medical Genetics; Prenatal Genetic Screening
Geriatrics & Palliative Care,9,2500,13000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Geriatric Care; Geriatric Rehabilitation; Geriatrician; Geriatrics; Home Care Services; Home Visits; Old Age Care; Palliative Care; Palliative Rehabilitation and Supportive Care
"Immunology, Allergy & Rheumatology",21,3000,18000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Allergic Diseases; Allergist; Allergistimmunologist; Allergy Clinic; Allergy Immunology Rheumatology; Allergy Testing; Allergy and Immunology; Clinical Immunology; Clinical Immunology Rheumatology; Clinical Immunology and Rheumatology; Immunologist; Immunology; Immunology Lab; Immunology Laboratory; Immunology and Autoimmunity Lab; Inflammatory Diseases; Microbiology and Immunology; Rheumatology; Rheumatology Immunology; Rheumatology and Clinical Immunology; Rheumatology and Immunology
Infectious Disease & Public Health,16,1500,8500,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Community Health; Community and Public Health; Epidemic Disease; Epidemiology; Global Health and International Health; Infection Control; Infectious Disease Control; Infectious Diseases; Leprosy Treatment; Preventive and Community; Public Health; Severe Infections; Spinal Infections; Spinal Tuberculosis; Tuberculosis; Vaccinology
Invalid / Non-specialty,4,0,0,Invalid source value,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,107; 2688105583190918; Coordinates8098097229003906; Null
Mental Health & Behavioral,36,2000,13000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Addiction Psychiatry; Anxiety; Anxiety and Depression; Clinical Psychology; Clinicalpsychology; Community and Public Psychiatry; Consultation Liaison Psychiatry; Counseling; Counseling Clinical Psychology; Counselling; Depression; Diet and Nutritional Counselling; Family Counselling; Forensic Psychiatry; Genetic Counselling; Genetic Counselling Screening and Testing; Geriatric Psychiatry; Interventional Psychiatry; Medical Genetics Genetic Counseling; Mental Health Counseling; Mental Health and Behavioural Sciences; Military Psychiatry; Psychiatric Medicine and Psychology; Psychiatric Social Work; Psychiatrist; Psychiatry; Psychiatry Psychology; Psychiatry and Deaddiction Therapy; Psychiatry and Psychology; Psychological Assessment; Psychological Medicine; Psychologist; Psychology; Psychology and Counselling; Psychology and Mental Wellness; Psychotherapy and Counselling
Neurology & Neurosurgery,105,30000,160000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Brain Haemorrhage Stroke; Brain Injury Medicine Pmr; Brain Injury Neurology; Brain Spine Surgery; Cerebrovascular Neurosurgery; Clinical Neurophysiology; Cognitive and Behavioral Neurology; Diagnostic Neurology; ENT and Skull Base Surgery; Endoscopic Minimally Invasive Neurosurgery; Endoscopic Neuro Surgery; Endovascular Neurosurgery; Epilepsy Neurology; Functional Neurological Disorder; Functional Neurosurgery; Interventional Neuro Radiology; Interventional Neurology; Interventional Neuroradiology; Minimal Invasive Neurosurgery; Movement Disorders; Neuro Anaesthesiology; Neuro Anesthesiology; Neuro Endoscopy; Neuro Endoscopy Surgery; Neuro Endovascular Surgery; Neuro Endovascular Therapy; Neuro Imaging; Neuro Immunology; Neuro Intervention; Neuro Medicine; Neuro Muscular Dentistry; Neuro Ophthalmology; Neuro Otolaryngology; Neuro Pathology; Neuro Psychiatry; Neuro Psychology; Neuro Rehabilitation; Neuro Science; Neuro Sciences; Neuro Spinal Surgery; Neuro Surgery; Neuro Urology; Neuro Urology and Urodynamics Centre; Neuro and Spine Surgery; Neuroanesthesiology; Neurodegenerative Disorders; Neuroendocrinology; Neuroendoscopy; Neuroendoscopy Surgery; Neurogenetics and Rare Diseases; Neuroimmunology; Neurointervention; Neurointervention and Stroke; Neurointerventional Surgery; Neurology; Neurology Tests; Neurology and Neurosurgery; Neurologyneurosurgery; Neurolysis Surgery; Neuromodulation; Neuromuscular Dentistry; Neuromuscular Disorders; Neuromuscular Medicine; Neuromuscular Medicine Pmr; Neuromuscular Orthodontics; Neuronavigation; Neuroophthalmology; Neuropelveology; Neurophthalmology; Neurophysiology; Neuroplastic Neurosurgery; Neuroplastic Plastic Surgery; Neuropsychiatry; Neuropsychiatry and Drug De Addiction; Neuroradiology; Neuroscience; Neurosciences; Neurosciences Spinal Disorders; Neurosurgeon; Neurosurgery; Neurosurgery Spine Surgery; Neurosurgery and Spine Surgery; Neurotherapy Naturopathy Centres; Neurotology and Otology; Neurourology; Neurovascular Disorders; Neurovascular Surgery; Other Neuro Psychiatric Disorders; Otologist Neurotologist; Otology and Neurotology; Pain Neurology; Peripheral Nerve Neurosurgery; Skull Base Neurosurgery; Skull Base Surgery; Sleep Medicine Neurology; Spinal Cord Injury; Spinal Cord Injury Medicine; Spinal Cord Stimulation; Spinal Neurosurgery; Spine Neurosurgery; Stroke Centre; Stroke Management; Stroke Rehabilitation; Vascular Neurology; Vascular Neurosurgery
Nutrition & Dietetics,26,1000,6500,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Clinical Nutrition; Clinical Nutrition and Dietetics; Clinical Nutrition and Dietitics; Diet and Nutrition; Dietetics; Dietetics Nutrition; Dietetics and Clinical Nutrition; Dietetics and Nutrition; Dietetics and Weight Loss; Dietitian; Dietitian / Nutritionist; Dietitian and Nutritionist; Dietitiannutritionist; Nutrition; Nutrition Dietetic; Nutrition Dietetics; Nutrition Dietician; Nutrition Screening; Nutrition and Diet; Nutrition and Dietary; Nutrition and Dietetic; Nutrition and Dietetics; Nutrition and Wellness; Nutritional Assessment; Nutritionist; Nutritionists
"Obstetrics, Gynecology & Fertility",132,6500,43000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Advanced Male and Female Infertility; Alpha Male Fertility Clinic; Andrology; Andrology An Male Fertility; Andrology Services; Andrology and Embryology; Andrology and Male Fertility; Andrology and Male Infertility Centre; Andrology and Sexology; Andrology and Uro Oncology; Antenatal Care; Antenatal and Postnatal Care; Assisted Fertility; Blastocyst Transfer; Breast Health Gynecology Center; Cosmetic Gynaecology; Cosmetic Gynecology; Ectopic Pregnancy; Egg Donation; Endometriosis; Endoscopic Gynaecology; Era Endometrial Receptivity Array Treatment; Erectile Dysfunction Infertility; Female Infertility Treatment; Fertility; Fertility Centre; Fertility Clinic; Fertility Clinic IVF; Fertility Preservation; Fertility and IVF; Fertility and Reproductive Medicine and Centre for Gynaec Laparoscopy; Genetic Testing Pgta Pgtm; Gynaec Oncology; Gynaecologic Oncology; Gynaecologic Surgery; Gynaecological Oncology; Gynaecology Obstetrics; Gynaecology and Gynae Oncology; Gynaecology and Obstetrics; Gynaecosmastia; Gynecologic Oncologist; Gynecologic Oncology; Gynecological Cancer; Gynecological Oncology; Gynecological Surgery; Gynecological and Laproscopic Surgery; Gynecologist; Gynecologist and Obstetrician; Gynecologistobstetrician; Gynecology; Gynecology Obstetric Surgery; Gynecology Obstetrics; Gynecology and Obstetrics; Gynecology and Obstetrics Surgery; Gynecology and Urogynecology; Gynecomastia; High Risk Pregnancy Care; High Risk Pregnancy and Infertility; IVF; IVF Centre; IVF Fertility Clinic; IVF Treatment; IVF Treatment for Fertility; Icsi; Icsi Treatment; In Vitro Fertilization IVF Specialist; Infertility; Infertility Care; Infertility Center; Infertility Centre; Infertility Clinic; Infertility Evaluation and Treatment; Infertility IVF; Infertility Imaging; Infertility Impotency; Infertility Medicine; Infertility Treatment; Infertility and Artificial Reproductive Techniques; Infertility and IVF; Infertility and Laparoscopic Surgery; Iui; Iui Centre; Iui Treatment; Lactation Consultancy; Male Fertility; Male Infertility; Menopause; Menopause and Midlife Health; Menstrual Problems; Midwifery; Obg; Obgy; Obsterics Gynaecology; Obstetric Anesthesiology; Obstetric and Gynecology; Obstetrics; Obstetrics Gynaecology; Obstetrics Gynecology; Obstetrics and Gynacology; Obstetrics and Gynaecology; Obstetrics and Gynecology; Obstetrics and Maternity Care; Obstetricsgynecology; Oocyte Vitrification; Ovulation Induction; Pcos; Pediatric Adolescent Gynecology; Pediatric and Adolescent Gynecology; Perinatal and Reproductive Psychiatry; Pgs Pgd Screening Treatment; Pgta; Pgtm; Polycystic Ovarian Syndrome Pcos Management; Pregnancy Care; Reconstructive Gynecology; Reproductive Endocrinology and Infertility; Reproductive Medicine; Reproductive Surgery; Semen Analysis; Semen Sperm Freezing; Sperm Retrieval; Tesa; Test Tube Baby; Uro Gynaecological Surgery; Uro Gynaecology; Urogynaecology and Reconstructive Pelvis Surgery; Urogynecology; Urogynecology and Reconstructive Pelvic Surgery; Urogynecology and Reconstructive Pelvis Surgery; Urology and Andrology; Well Women Clinic; Womens Health and Fertility
Oncology & Hematology,161,15000,100000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf,Benign and Malignant Hematology; Bone Marrow Translant; Bone Marrow Transplant; Bone Marrow Transplantation; Bone Marrow Transplantation Unit; Bone Marrow Transplants; Bone Tumor Treatment; Brain Tumor Surgery; Breast Cancer; Breast Cancer Clinic; Breast Onco Surgery; Breast Oncology and Reconstruction; Breast Surgical Oncology; Breast and Thoracic Oncology; Cancer Care; Cancer Cytogenetics; Cancer Dentistry; Cancer Diagnostics; Cancer Marker; Cancer Oncology; Cancer Palliative Medicine; Cancer Pathology; Cancer Reconstruction; Cancer Registry Epidemiology; Cancer Rehabilitation; Cancer Rehabilitation Centre; Cancer Screening; Cancer Screening Centre; Cancer Staging; Cancer Surgeries; Cancer Surgery; Cancer Vaccination; Car T Cell; Car T Cell Therapy; Clinical Haematology; Clinical Hematology; Clinical Hematology Hemato Oncology; Clinical Oncology; Colorectal Peritoneal Surface Malignancies Crs HIPEC; Community Oncology; Dental Oncology; Dermatologic Oncology; Diagnostic Oncology; Esophageal Stomach Cancer Surgeries; GI Cancer; GI Oncology; GI Uro Oncology; Gastro Intestinal Oncosurgery; Gastro Intestinal and Breast Surgical Oncology; Gastrointestinal Hepatobiliary Oncology; Gastrointestinal Oncology; General and Cancer Surgery; Geriatric Oncology; Gynae Oncology; Gynaeoncology; Gyne Oncology; HIPEC and Peritoneal Surface Malignancy Psm; Haemato Oncology; Haemato Oncology Bone Marrow Transplant; Haematologist; Haematology; Haematology Automation; Haematology Haemato Oncology; Haematology Laboratory; Haematology and Bmt; Haematology and Haemato Oncology; Haematology and Haematoncology; Head Neck Oncologist; Head Neck Oncology; Head and Neck Cancer; Head and Neck Oncologic Surgery; Head and Neck Oncology; Head and Neck Oncosurgery; Head and Neck Surgical Oncology; Hemato Oncology; Hemato Oncology Bmt; Hemato Oncology and Bmt; Hematology; Hematology Hemato Oncology; Hematology Laboratory; Hematology Oncology; Immuno Haematology; Immunohematology Blood Transfusion; Immunohematology and Blood Transfusion; Immunohematologyandbloodtransfusion; Interventional Oncology; Laboratory and Oncopathology; Lacrimal Gland Tumor; Mastectomy In Breast Cancer; Medical Oncology; Molecular Oncology; Musculoskeletal Oncology; Nerve Tumor Treatment; Neuro Oncology; Neuro Oncology Neurosurgery; Nutritional Oncology; Ocular Oncology; Oculoplasty and Ocular Oncology; Oculoplasty and Oncology; Onco Care; Onco Surgery; Onco Surgery Chemo Therapy Unit; Oncoanesthesiology; Oncodermatology; Oncologic Reconstruction; Oncologist; Oncologist Cancer Specialist; Oncology; Oncology Nursing; Oncology Oncology Surgery; Oncology Oncosurgery; Oncology and Onco Surgery; Oncology and Oncology Surgery; Oncology and Oncosurgery; Oncology and Reconstructive Oral and Maxillofacial Surgery; Oncologyoncosurgery; Oncopathology; Oncosurgery; Oral Cancer; Oral Cancer Care; Oral Cancer Detection and Management; Oral Cancer Diagnosis and Treatment; Oral Cancer Screenings; Oral Cancers; Oral Oncology; Orthopaedic Oncology; Orthopaedic Tumor and Oncology; Orthopedic Oncologist; Orthopedic Oncology; Palliative Care and Cancer Pain Management; Palliative Oncology; Peritoneal Surface Malignancies; Peritoneal Surface Malignancy; Podiatric Oncology; Precision Oncology; Preventive Community Oncology; Preventive Oncology; Preventive Oncology and Screening; Prostate Cancer; Psycho Oncology; Radiation Oncologist; Radiation Oncology; Scalp Tumor; Solid Malignancies; Surgical Oncologist; Surgical Oncology; Surgical Oncology and Reconstructive Surgery; Targeted Therapies; Targeted Therapy; Thoracic Cancer; Thoracic Oncology; Tumor Marker; Uro Onco Treatment; Uro Oncology; Uro Oncosurgery; Urologic Oncology; Urological Cancer; Urological Cancer Surgery; Urological Oncology; Urology Oncology; Urooncology
